Ecru,Ecru/off-white
963,Dusty Rose - Ultra Very Light
964,Seagreen - Light
966,Baby Green - Medium
967,Peach - Light
970,Pumpkin - Light
971,Pumpkin
972,Canary - Deep
973,Canary - Bright
975,Golden Brown - Dark
976,Golden Brown - Medium
977,Golden Brown - Light
986,Forest Green - Very Dark
987,Forest Green - Dark
988,Forest Green - Medium
989,Forest Green
991,Aquamarine - Dark
992,Aquamarine - Light
993,Aquamarine - Very Light
995,Electric Blue - Dark
996,Electric Blue - Medium
3011,Khaki Green - Dark
3012,Khaki Green - Medium
3013,Khaki Green - Light
3021,Brown Gray - Very Dark
3022,Brown Gray - Medium
3023,Brown Gray - Light
3024,Brown Gray - Very Light
3031,Mocha Brown - Very Dark
3032,Mocha Brown - Medium
3033,Mocha Brown - Very Light
3041,Antique Violet - Medium
3042,Antique Violet - Light
3045,Yellow Beige - Dark
3046,Yellow Beige - Medium
3047,Yellow Beige - Light
3051,Green Gray - Dark
3052,Green Gray - Medium
3053,Green Gray
3064,Desert Sand
3072,Beaver Gray - Very Light
3078,Golden Yellow - Very Light
3325,Baby Blue - Light
3326,Rose - Light
3328,Salmon - Dark
3340,Apricot - Medium
3341,Apricot
3345,Hunter Green - Dark
3346,Hunter Green
3347,Yellow Green - Medium
3348,Yellow Green - Light
3350,Dusty Rose - Ultra Dark
3354,Dusty Rose - Light
3362,Pine Green - Dark
3363,Pine Green - Medium
3364,Pine Green
3371,Black Brown
3607,Plum - Light
3608,Plum - Very Light
3609,Plum - Ultra Light
3685,Mauve - Very Dark
3687,Mauve
3688,Mauve - Medium
3689,Mauve - Light
3705,Melon - Dark
3706,Melon - Medium
3708,Melon - Light
3712,Salmon - Medium
3713,Salmon - Very Light
3716,Dusty Rose - Very Light
3721,Shell Pink - Dark
3722,Shell Pink - Medium
3726,Antique Mauve - Dark
3727,Antique Mauve - Light
3731,Dusty Rose - Very Dark
3733,Dusty Rose
3740,Antique Violet - Dark
3743,Antique Violet - Very Light
3746,Blue Violet - Dark
3747,Blue Violet - Very Light
3750,Antique Blue - Very Dark
3752,Antique Blue - Very Light
3753,Antique Blue - Ultra Very Light
3755,Baby Blue
3756,Baby Blue - Light
3760,Wedgewood - Medium
3761,Sky Blue - Light
3765,Peacock Blue - Very Dark
3766,Peacock Blue - Light
3768,Gray Green - Dark
3770,Tawny - Very Light
3771,Peach - Dark
3772,Desert Sand - Very Dark
3773,Desert Sand - Medium
3774,Desert Sand - Very Light
3776,Mahogany - Light
3777,Terra Cotta - Very Dark
3778,Terra Cotta - Light
3779,Terra Cotta - Ultra Very Light
3781,Mocha Brown - Dark
3782,Mocha Brown - Light
3787,Brown Gray - Dark
3790,Beige Gray - Ultra Dark
3799,Pewter Gray - Very Dark
3801,Melon - Very Dark
3802,Antique Mauve - Very Dark
3803,Mauve - Dark
3804,Cyclamen Pink - Dark
3805,Cyclamen Pink
3806,Cyclamen Pink - Light
3807,Cornflower Blue
3808,Turquoise - Ultra Very Dark
3809,Turquoise - Very Dark
3810,Turquoise - Dark
3811,Turquoise - Very Light
3812,Seagreen - Very Dark
3813,Blue Green - Light
3814,Aquamarine
3815,Celadon Green - Dark
3816,Celadon Green
3817,Celadon Green - Light
3818,Emerald Green - Ultra Very Dark
3819,Moss Green - Light
3820,Straw - Dark
3821,Straw
3822,Straw - Light
3823,Yellow - Ultra Pale
3824,Apricot - Light
3825,Pumpkin - Pale
3826,Golden Brown
3827,Golden Brown - Pale
3828,Hazelnut Brown
3829,Old Gold - Very Dark
3830,Terra Cotta
3831,Raspberry - Dark
3832,Raspberry - Medium
3833,Raspberry - Light
3834,Grape - Dark
3835,Grape - Medium
3836,Grape - Light
3837,Lavender - Ultra Dark
3838,Lavender Blue - Dark
3839,Lavender Blue - Medium
3840,Lavender Blue - Light
3841,Baby Blue - Pale
3842,Wedgewood - Dark
3843,Electric Blue
3844,Bright Turquoise - Dark
3845,Bright Turquoise - Medium
3846,Bright Turquoise - Light
3847,Teal Green - Dark
3848,Teal Green - Medium
3849,Teal Green - Light
3850,Bright Green - Dark
3851,Bright Green - Light
3852,Straw - Very Dark
3853,Autumn Gold - Dark
3854,Autumn Gold - Medium
3855,Autumn Gold - Light
3856,Mahogany - Ultra Very Light
3857,Rosewood - Dark
3858,Rosewood - Medium
3859,Rosewood - Light
3860,Cocoa
3861,Cocoa - Light
3862,Mocha Beige - Dark
3863,Mocha Beige - Medium
3864,Mocha Beige - Light
3865,Winter White
3866,Mocha Brown - Ultra Very Light
3880,Shell Pink - Light
3881,Green - Light
3882,Beige Brown - Dark
3883,Orange Spice - Light
3884,Ash Gray - Very Light
3885,Baby Blue - Very Dark
3886,Mauve - Very Dark
3887,Lavender - Very Dark
3888,Antique Violet - Dark
3889,Lemon - Light
3890,Peacock Blue - Light
3891,Electric Blue - Dark
3892,Tangerine
3893,Beige Brown - Ultra Very Light
3894,Parrot Green - Light
3895,Beaver Gray - Dark
48,Variegated - Baby Pink
51,Variegated - Burnt Orange
52,Variegated - Violet
53,Variegated - Steel Grey
67,Variegated - Baby Blue
69,Variegated - Terra Cotta
90,Variegated - Yellow
92,Variegated - Avocado
93,Variegated - Blue Haze
94,Variegated - Khaki Green
99,Variegated - Mauve
105,Variegated - Tan/Brown
106,Variegated - Coral
107,Variegated - Carnation
111,Variegated - Mustard
115,Variegated - Garnet
121,Variegated - Delft Blue
125,Variegated - Seafoam Green
E5200,Metallic - White
E130,Metallic - Gemstones
E131,Metallic - Holiday Sparkle
E133,Metallic - Midnight Madness
E135,Metallic - Golden Dawn
E136,Metallic - Emerald Isle
E138,Metallic - Caribbean Ripples
E140,Metallic - Carnival Fun
E141,Metallic - All that Jazz
E144,Metallic - Majestic Metals
E146,Metallic - Tropical Delight
E148,Metallic - Purple Essence
E150,Metallic - Deep Water Blue
E152,Metallic - Pink Shimmer
E154,Metallic - Opalescent Rays
E155,Metallic - Amethyst
E168,Metallic - Silver
E211,Metallic - Lilac
E301,Metallic - Copper
E310,Metallic - Ebony
E316,Metallic - Pink Amethyst
E317,Metallic - Titanium
E321,Metallic - Red Ruby
E334,Metallic - Blue Topaz
E415,Metallic - Pewter
E436,Metallic - Golden Oak
E677,Metallic - White Gold
E699,Metallic - Green Emerald
E703,Metallic - Light Green Emerald
E718,Metallic - Pink Garnet
E746,Metallic - Cream
E747,Metallic - Baby Blue
E815,Metallic - Dark Red Ruby
E818,Metallic - Soft Pink
E825,Metallic - Blue Sapphire
E898,Metallic - Dark Oak
E966,Metallic - Lime
E967,Metallic - Soft Peach
E3685,Metallic - Rosewood
E3747,Metallic - Sky Blue
E3821,Metallic - Light Gold
E3837,Metallic - Purple Ruby
E3843,Metallic - Light Blue Sapphire
E3849,Metallic - Aquamarine Blue
E3852,Metallic - Dark Gold
E980,Neon - Neon Yellow
E990,Neon - Neon Green
E985,Fluorescents - Lemon Zest
E987,Fluorescents - Key Lime Splash
E995,Fluorescents - Melon Blast
E1010,Fluorescents - Tropical Pink
E1020,Fluorescents - Bright Orange
E1024,Fluorescents - Tangerine Zing
E1026,Fluorescents - Blueberry Blast
E1040,Fluorescents - Bright Blue
E1050,Fluorescents - Luminous Lavender
E1055,Fluorescents - Raspberry Rush
E940,Glow-In-The-Dark
5282,Metallic Pearl - Gold
5283,Metallic Pearl - Silver
4010,Variations - Winter Sky
4015,Variations - Stormy Skies
4020,Variations - Tropical Waters
4025,Variations - Caribbean Bay
4030,Variations - Monet's Garden
4040,Variations - Water Lillies
4045,Variations - Evergreen Forest
4050,Variations - Roaming Pastures
4060,Variations - Weeping Willow
4065,Variations - Morning Meadow
4070,Variations - Autumn Leaves
4075,Variations - Wheat Fields
4077,Variations - Morning Sunshine
4080,Variations - Daffodil Fields
4090,Variations - Golden Oasis
4100,Variations - Summer Breeze
4110,Variations - Sunrise
4120,Variations - Tropical Sunset
4124,Variations - Bonfire
4126,Variations - Desert Canyon
4128,Variations - Gold Coast
4130,Variations - Chilean Sunset
4140,Variations - Driftwood
4145,Variations - Sandune
4150,Variations - Desert Sand
4160,Variations - Glistening Pearl
4170,Variations - Whispering Wind
4180,Variations - Rose Petals
4190,Variations - Ocean Coral
4200,Variations - Wild Fire
4210,Variations - Radiant Ruby
4215,Variations - Northern Lights
4220,Variations - Lavender Fields
4230,Variations - Crystal Water
4235,Variations - Arctic Sea
4240,Variations - Mid Summer Night
4500,Coloris - Columbine Gardens
4501,Coloris - Wildflowers
4502,Coloris - Camelia
4503,Coloris - Wisteria
4504,Coloris - Hydrangea
4505,Coloris - Heather
4506,Coloris - Spring
4507,Coloris - Bouginvillea
4508,Coloris - Frosted Countryside
4509,Coloris - Granite Coast
4510,Coloris - Maple
4511,Coloris - Indian Summer
4512,Coloris - States
4513,Coloris - London
4514,Coloris - Venice
4515,Coloris - Paris
4516,Coloris - Black Forest
4517,Coloris - Elves
4518,Coloris - Cottage
4519,Coloris - Jingle Bells
4520,Coloris - Christmas Story
4521,Coloris - Wide Open Spaces
4522,Coloris - Canadian Night
4523,Coloris - North Wind
CBlanc,Étoile -  White
CEcru,Étoile - Ecru/off-white
C310,Étoile - Black
C318,Étoile - Steel Gray - Light
C321,Étoile - Red
C415,Étoile - Pearl Grey
C433,Étoile - Brown - Medium
C436,Étoile - Tan
C444,Étoile - Lemon - Dark
C471,Étoile - Avocado Green - Very Light
C519,Étoile - Sky Blue
C550,Étoile - Violet - Very Dark
C554,Étoile - Violet - Light
C600,Étoile - Cranberry - Very Dark
C603,Étoile - Cranberry
C666,Étoile - Red - Bright
C699,Étoile - Green
C725,Étoile - Topaz
C738,Étoile - Tan - Very Light
C740,Étoile - Tangerine
C798,Étoile - Delft Blue - Dark
C814,Étoile - Garnet - Dark
C816,Étoile - Garnet
C820,Étoile - Royal Blue - Very Dark
C823,Étoile - Blue - Dark
C840,Étoile - Beige Brown - Medium
C890,Étoile - Pistachio Green - Ultra Dark
C900,Étoile - Burnt Orange - Dark
C907,Étoile - Parrot Green - Light
C915,Étoile - Plum - Dark
C938,Étoile - Coffee Brown - Ultra Dark
C972,Étoile - Canary - Deep
C995,Étoile - Electric Blue - Dark
C3371,Étoile - Black Brown
C3799,Étoile - Pewter Gray - Very Dark
S5200,Satin - Snow White
S211,Satin - Lavender
S307,Satin - Lemon
S310,Satin - Black
S321,Satin - Red
S326,Satin - Rose
S336,Satin - Blue
S351,Satin - Coral
S352,Satin - Coral Light
S367,Satin - Pistachio Green
S414,Satin - Steel Grey
S415,Satin - Pearl Grey
S434,Satin - Brown
S469,Satin - Avacado Green
S471,Satin - Avocado Green Very Light
S472,Satin - Avocado Green Ultra Light
S501,Satin - Blue Green Dark
S504,Satin - Blue Green
S550,Satin - Violet Dark
S552,Satin - Violet Medium
S553,Satin - Violet
S601,Satin - Cranberry Dark
S602,Satin - Cranberry
S606,Satin - Orange Red
S666,Satin - Red Bright
S676,Satin - Old Gold
S700,Satin - Green
S702,Satin - Kelly Green
S712,Satin - Cream
S726,Satin - Topaz
S738,Satin - Tan Dark
S739,Satin - Tan
S741,Satin - Tangerine
S744,Satin - Yellow
S745,Satin - Yellow Pale
S762,Satin - Pearl Grey
S776,Satin - Pink
S797,Satin - Royal Blue
S798,Satin - Delft Blue Dark
S799,Satin - Delft Blue
S800,Satin - Delft Blue Pale
S818,Satin - Baby Pink
S820,Satin - Royal Blue Very Dark
S841,Satin - Beige Brown
S898,Satin - Coffee Brown
S899,Satin - Rose
S909,Satin - Emerald Green
S915,Satin - Plum Dark
S931,Satin - Antique Blue
S932,Satin - Antique Blue Light
S943,Satin - Aquamarine
S959,Satin - Seagreen
S964,Satin - Seagren Light
S976,Satin - Golden Brown
S991,Satin - Aquamarine Dark
S995,Satin - Electric Blue
S3371,Satin - Black Brown
S3607,Satin - Plum
S3685,Satin - Mauve
S3820,Satin - Straw
